Year,Date,Start,End,Location,Site,Habitat,Transect,Swath,Taxonomy,Family,Count,Total_Length,Length_Anomaly,Biomass,Coarse_Trophic,Fine_Trophic,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites arcatus,Cirrhitidae,5,40,0,      4.32,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites arcatus,Cirrhitidae,4,50,0,      7.16,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites arcatus,Cirrhitidae,1,55,0,      2.44,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites arcatus,Cirrhitidae,2,60,0,      6.49,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites arcatus,Cirrhitidae,2,65,0,      8.44,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites forsteri,Cirrhitidae,1,45,0,      1.27,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Paracirrhites forsteri,Cirrhitidae,1,60,0,      3.25,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Plagiotremus tapeinosoma,Blenniidae,1,60,0,      0.97,Secondary Consumer,Fish Scale Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Plectroglyphidodon johnstonianus,Pomacentridae,7,25,0,      4.79,Secondary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Plectroglyphidodon johnstonianus,Pomacentridae,4,35,0,      6.64,Secondary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Plectroglyphidodon johnstonianus,Pomacentridae,6,40,0,     14.17,Secondary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Plectroglyphidodon johnstonianus,Pomacentridae,2,45,0,      6.44,Secondary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Plectroglyphidodon lacrymatus,Pomacentridae,2,30,0,      0.91,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Plectroglyphidodon lacrymatus,Pomacentridae,1,35,0,      0.74,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Pseudocheilinus hexataenia,Labridae,2,20,0,      0.19,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Pseudocheilinus hexataenia,Labridae,2,25,0,      0.39,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Pseudocheilinus hexataenia,Labridae,1,30,0,      0.35,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Pseudocheilinus hexataenia,Labridae,1,35,0,      0.57,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Pseudocheilinus tetrataenia,Labridae,2,25,0,      0.39,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Stegastes fasciolatus,Pomacentridae,2,25,0,      0.85,Primary Consumer,Herbivore/Detritivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Stegastes fasciolatus,Pomacentridae,1,30,0,      0.73,Primary Consumer,Herbivore/Detritivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,0.5,error,1,1,Stegastes fasciolatus,Pomacentridae,1,35,0,      1.16,Primary Consumer,Herbivore/Detritivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Acanthurus nigricauda,Acanthuridae,1,190,0,    100.1,Primary Consumer,Sediment Sucker,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Acanthurus olivaceus,Acanthuridae,1,40,0,      1.25,Primary Consumer,Sediment Sucker,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Acanthurus olivaceus,Acanthuridae,2,190,0,    261.1,Primary Consumer,Sediment Sucker,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Acanthurus olivaceus,Acanthuridae,1,220,0,    202.1,Primary Consumer,Sediment Sucker,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Acanthurus pyroferus,Acanthuridae,1,180,0,    124.9,Primary Consumer,Sediment Sucker,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Balistapus undulatus,Balistidae,1,180,0,    103.5,Secondary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Centropyge bispinosa,Pomacanthidae,3,30,0,      4.71,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Centropyge flavissima,Pomacanthidae,5,30,0,      6.32,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Centropyge flavissima,Pomacanthidae,4,40,0,     10.61,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Centropyge flavissima,Pomacanthidae,3,50,0,     14.14,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Centropyge loricula,Pomacanthidae,2,35,0,      3.76,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Cephalopholis argus,Serranidae,2,180,0,    183.0,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Cephalopholis argus,Serranidae,2,240,0,    457.1,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Cephalopholis argus,Serranidae,1,250,0,    260.2,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Cephalopholis urodeta,Serranidae,1,190,0,    113.2,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chaetodon ornatissimus,Chaetodontidae,2,160,0,    220.1,Secondary Consumer,Corallivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chaetodon pelewensis,Chaetodontidae,12,50,0,     37.01,Secondary Consumer,Corallivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chaetodon quadrimaculatus,Chaetodontidae,8,120,0,    391.8,Secondary Consumer,Corallivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chlorurus spilurus,Scaridae,3,170,0,    328.0,Primary Consumer,Excavator,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chlorurus spilurus,Scaridae,7,180,0,    907.0,Primary Consumer,Excavator,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chlorurus spilurus,Scaridae,4,190,0,    608.5,Primary Consumer,Excavator,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chlorurus spilurus,Scaridae,2,200,0,    354.3,Primary Consumer,Excavator,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chromis acares,Pomacentridae,50,25,0,     13.07,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chromis iomelas,Pomacentridae,3,30,0,      0.83,Planktivore,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chromis margaritifer,Pomacentridae,9,30,0,      2.76,Planktivore,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Chromis vanderbilti,Pomacentridae,25,30,0,     11.63,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Cirrhilabrus exquisitus,Labridae,1,30,0,      0.33,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Cirrhilabrus scottorum,Labridae,5,30,0,      1.76,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Cirrhilabrus scottorum,Labridae,20,45,0,     25.49,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Ctenochaetus flavicauda,Acanthuridae,6,40,0,      8.11,Primary Consumer,Brusher,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Ctenochaetus striatus,Acanthuridae,8,50,0,     17.18,Primary Consumer,Brusher,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Ctenochaetus striatus,Acanthuridae,1,70,0,      6.02,Primary Consumer,Brusher,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Ctenochaetus striatus,Acanthuridae,2,130,0,     80.2,Primary Consumer,Brusher,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Ctenochaetus striatus,Acanthuridae,5,170,0,    455.9,Primary Consumer,Brusher,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Forcipiger flavissimus,Chaetodontidae,1,170,0,    134.1,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Gomphosus varius,Labridae,1,130,0,     18.9,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Halichoeres claudia,Labridae,2,60,0,      6.75,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Halichoeres claudia,Labridae,1,100,0,     15.5,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Halichoeres claudia,Labridae,1,120,0,     26.8,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Halichoeres claudia,Labridae,1,130,0,     34.0,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Halichoeres hortulanus,Labridae,2,200,0,    246.2,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Labroides bicolor,Labridae,1,120,0,     18.1,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Labroides dimidiatus,Labridae,1,60,0,      1.93,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Labroides rubrolabiatus,Labridae,1,50,0,      1.07,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Labroides rubrolabiatus,Labridae,1,60,0,      1.93,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Macropharyngodon meleagris,Labridae,2,50,0,      3.56,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Melichthys vidua,Balistidae,1,190,0,    124.4,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Odonus niger,Balistidae,1,180,0,     79.2,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Ostracion meleagris,Ostraciidae,1,80,0,     24.25,Secondary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Parupeneus multifasciatus,Mullidae,2,130,0,     62.7,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Pomachromis fuscidorsalis,Pomacentridae,7,30,0,      3.60,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Scarus forsteni,Scaridae,1,200,0,    139.7,Primary Consumer,Scraper,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Scarus globiceps,Scaridae,1,190,0,    141.0,Primary Consumer,Scraper,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Scarus oviceps,Scaridae,1,200,0,    164.1,Primary Consumer,Scraper,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Scarus psittacus,Scaridae,15,160,0,   1562.3,Primary Consumer,Scraper,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Scarus psittacus,Scaridae,28,180,0,   4311.2,Primary Consumer,Scraper,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Sufflamen bursa,Balistidae,7,170,0,    911.2,Secondary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Thalassoma quinquevittatum,Labridae,1,60,0,      3.16,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Thalassoma quinquevittatum,Labridae,7,100,0,    107.6,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Thalassoma quinquevittatum,Labridae,5,150,0,    269.9,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Thalassoma quinquevittatum,Labridae,2,160,0,    131.9,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Zebrasoma scopas,Acanthuridae,14,170,0,   1962.3,Primary Consumer,Concealed Cropper,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 5 m,0.5,error,1,5,Zebrasoma velifer,Acanthuridae,3,200,0,    551.0,Primary Consumer,Concealed Cropper,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Canthigaster solandri,Tetraodontidae,1,40,0,      1.86,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Caracanthus maculatus,Scorpaenidae,4,30,0,      2.40,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Caracanthus maculatus,Scorpaenidae,14,35,0,     13.16,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Nemateleotris magnifica,Gobiidae,1,55,0,      2.76,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Neocirrhites armatus,Cirrhitidae,10,40,0,      8.63,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Neocirrhites armatus,Cirrhitidae,8,45,0,     10.15,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Paracirrhites arcatus,Cirrhitidae,4,30,0,      1.35,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Paracirrhites arcatus,Cirrhitidae,4,50,0,      7.16,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Paracirrhites arcatus,Cirrhitidae,12,60,0,     38.96,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
2015,2015-08-02,8:55 ,10:00,LTER 0.5 Forereef Fish Transect 2 Swath 1 m,0.5,error,2,1,Paracirrhites arcatus,Cirrhitidae,11,70,0,     59.11,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,AB
