Year,Date,Start,End,Location,Site,Habitat,Transect,Swath,Taxonomy,Family,Count,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Mulloidichthys flavolineatus,Mullidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Mulloidichthys vanicolensis,Mullidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Naso annulatus,Acanthuridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Parupeneus barberinus,Mullidae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Parupeneus cyclostomus,Mullidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Parupeneus multifasciatus,Mullidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Plectroglyphidodon dickii,Pomacentridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Scarus oviceps,Scaridae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Scarus psittacus,Scaridae,6,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Stethojulis bandanensis,Labridae,13,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Thalassoma amblycephalum,Labridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Thalassoma hardwicke,Labridae,50,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Thalassoma purpureum,Labridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Zanclus cornutus,Zanclidae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 1 Swath 5 m,1,BA,1,5,Zebrasoma scopas,Acanthuridae,10,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Canthigaster solandri,Tetraodontidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Caracanthus maculatus,Scorpaenidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Chrysiptera brownriggii,Pomacentridae,18,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Neocirrhites armatus,Cirrhitidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Ostorhinchus nigrofasciatus,Apogonidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Paracirrhites arcatus,Cirrhitidae,7,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Pseudocheilinus hexataenia,Labridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Sargocentron caudimaculatum,Holocentridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Sargocentron microstoma,Holocentridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Stegastes nigricans,Pomacentridae,4,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 1 m,1,BA,2,1,Stegastes punctatus,Pomacentridae,8,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Acanthurus nigrofuscus,Acanthuridae,31,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Acanthurus triostegus,Acanthuridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Cantherhines sandwichiensis,Monacanthidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Canthigaster solandri,Tetraodontidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Centropyge flavissima,Pomacanthidae,10,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chaetodon citrinellus,Chaetodontidae,6,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chaetodon ornatissimus,Chaetodontidae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chaetodon reticulatus,Chaetodontidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Cheilinus chlorourus,Labridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Cheilinus trilobatus,Labridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chlorurus spilurus,Scaridae,27,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chromis iomelas,Pomacentridae,8,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chromis margaritifer,Pomacentridae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chromis viridis,Pomacentridae,4,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Chrysiptera brownriggii,Pomacentridae,21,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Coris aygula,Labridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Ctenochaetus binotatus,Acanthuridae,9,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Ctenochaetus striatus,Acanthuridae,9,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Forcipiger longirostris,Chaetodontidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Gomphosus varius,Labridae,7,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Halichoeres hortulanus,Labridae,7,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Halichoeres margaritaceus,Labridae,4,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Halichoeres marginatus,Labridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Halichoeres trimaculatus,Labridae,11,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Heniochus chrysostomus,Chaetodontidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Labroides dimidiatus,Labridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Macropharyngodon ornatus,Labridae,3,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Naso lituratus,Acanthuridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Naso unicornis,Acanthuridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Novaculichthys taeniourus,Labridae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Parapercis millepunctata,Pinguipedidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Parupeneus barberinus,Mullidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Parupeneus multifasciatus,Mullidae,2,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Scarus psittacus,Scaridae,5,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Siganus spinus,Siganidae,1,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Stethojulis bandanensis,Labridae,9,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Thalassoma hardwicke,Labridae,35,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 2 Swath 5 m,1,BA,2,5,Zebrasoma scopas,Acanthuridae,6,70,1,1,0,15,0,AB+SH
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 1 m,1,BA,3,1,Echidna nebulosa,Muraenidae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 1 m,1,BA,3,1,Paracirrhites arcatus,Cirrhitidae,2,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 1 m,1,BA,3,1,Stegastes nigricans,Pomacentridae,19,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Abudefduf sexfasciatus,Pomacentridae,10,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Acanthurus nigricans,Acanthuridae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Acanthurus nigrofuscus,Acanthuridae,30,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Centropyge flavissima,Pomacanthidae,14,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Chaetodon citrinellus,Chaetodontidae,2,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Chaetodon lunulatus,Chaetodontidae,2,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Chaetodon ornatissimus,Chaetodontidae,2,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Chaetodon vagabundus,Chaetodontidae,2,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Cheilinus trilobatus,Labridae,2,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Chlorurus spilurus,Scaridae,56,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Chromis viridis,Pomacentridae,17,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Ctenochaetus striatus,Acanthuridae,55,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Gomphosus varius,Labridae,3,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Halichoeres hortulanus,Labridae,4,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Halichoeres margaritaceus,Labridae,4,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Scarus oviceps,Scaridae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Scarus psittacus,Scaridae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Thalassoma hardwicke,Labridae,18,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Zanclus cornutus,Zanclidae,4,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 3 Swath 5 m,1,BA,3,5,Zebrasoma scopas,Acanthuridae,12,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Canthigaster solandri,Tetraodontidae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Caracanthus maculatus,Scorpaenidae,4,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Chrysiptera brownriggii,Pomacentridae,39,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Neocirrhites armatus,Cirrhitidae,3,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Paracirrhites arcatus,Cirrhitidae,4,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Pseudocheilinus hexataenia,Labridae,3,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Sargocentron caudimaculatum,Holocentridae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 1 m,1,BA,4,1,Stegastes nigricans,Pomacentridae,8,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Abudefduf septemfasciatus,Pomacentridae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Abudefduf sexfasciatus,Pomacentridae,4,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Acanthurus lineatus,Acanthuridae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Acanthurus nigrofuscus,Acanthuridae,30,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Centropyge flavissima,Pomacanthidae,15,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Chaetodon citrinellus,Chaetodontidae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Chaetodon lunula,Chaetodontidae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Chaetodon ornatissimus,Chaetodontidae,4,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Chaetodon reticulatus,Chaetodontidae,3,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Chaetodon vagabundus,Chaetodontidae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Cheilinus trilobatus,Labridae,1,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Chlorurus spilurus,Scaridae,12,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Chromis margaritifer,Pomacentridae,14,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Ctenochaetus striatus,Acanthuridae,52,70,1,1,0,15,0,KS+CK
2005,2005-07-24,14:30,16:00,LTER 1 Backreef Fish Transect 4 Swath 5 m,1,BA,4,5,Epinephelus merra,Serranidae,1,70,1,1,0,15,0,KS+CK
